conname,contype,table_name,pg_get_constraintdef
comment_reactions_pkey,p,comment_reactions,PRIMARY KEY (id)
comments_parent_comment_id_fkey,f,comments,FOREIGN KEY (parent_comment_id) REFERENCES comments(id)
comments_content_id_fkey,f,comments,FOREIGN KEY (content_id) REFERENCES content(id) ON DELETE CASCADE
comments_user_id_fkey,f,comments,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE
comments_pkey,p,comments,PRIMARY KEY (id)
community_posts_circle_id_fkey,f,community_posts,FOREIGN KEY (circle_id) REFERENCES private_circles(id)
community_posts_pkey,p,community_posts,PRIMARY KEY (id)
community_posts_author_id_fkey,f,community_posts,FOREIGN KEY (author_id) REFERENCES auth.users(id)
compliance_audits_pkey,p,compliance_audits,PRIMARY KEY (id)
concurrent_access_events_pkey,p,concurrent_access_events,PRIMARY KEY (id)
concurrent_access_events_user_id_fkey,f,concurrent_access_events,FOREIGN KEY (user_id) REFERENCES auth.users(id)
consent_records_pkey,p,consent_records,PRIMARY KEY (id)
content_author_id_fkey,f,content,FOREIGN KEY (author_id) REFERENCES auth.users(id)
content_workspace_id_fkey,f,content,FOREIGN KEY (workspace_id) REFERENCES workspaces(id)
content_category_id_fkey,f,content,FOREIGN KEY (category_id) REFERENCES content_categories(id)
content_slug_key,u,content,UNIQUE (slug)
content_pkey,p,content,PRIMARY KEY (id)
content_access_rules_content_id_fkey,f,content_access_rules,FOREIGN KEY (content_id) REFERENCES content(id)
content_access_rules_pkey,p,content_access_rules,PRIMARY KEY (id)
content_analytics_content_id_fkey,f,content_analytics,FOREIGN KEY (content_id) REFERENCES content(id) ON DELETE CASCADE
content_analytics_pkey,p,content_analytics,PRIMARY KEY (id)
content_categories_slug_key,u,content_categories,UNIQUE (slug)
content_categories_pkey,p,content_categories,PRIMARY KEY (id)
content_embeddings_pkey,p,content_embeddings,PRIMARY KEY (id)
