conname,table_name,pg_get_constraintdef
content_category_id_fkey,content,FOREIGN KEY (category_id) REFERENCES content_categories(id)
content_access_rules_content_id_fkey,content_access_rules,FOREIGN KEY (content_id) REFERENCES content(id)
content_analytics_content_id_fkey,content_analytics,FOREIGN KEY (content_id) REFERENCES content(id) ON DELETE CASCADE
content_embeddings_content_id_fkey,content_embeddings,FOREIGN KEY (content_id) REFERENCES content(id)
content_heatmaps_content_id_fkey,content_heatmaps,FOREIGN KEY (content_id) REFERENCES content(id)
content_leaks_source_user_fkey,content_leaks,FOREIGN KEY (source_user) REFERENCES auth.users(id)
content_schedule_content_id_fkey,content_schedule,FOREIGN KEY (content_id) REFERENCES content(id)
content_schedule_created_by_fkey,content_schedule,FOREIGN KEY (created_by) REFERENCES auth.users(id)
content_similarity_recommended_content_id_fkey,content_similarity,FOREIGN KEY (recommended_content_id) REFERENCES content(id)
content_similarity_source_content_id_fkey,content_similarity,FOREIGN KEY (source_content_id) REFERENCES content(id)
content_tag_relations_content_id_fkey,content_tag_relations,FOREIGN KEY (content_id) REFERENCES content(id) ON DELETE CASCADE
content_tag_relations_tag_id_fkey,content_tag_relations,FOREIGN KEY (tag_id) REFERENCES content_tags(id) ON DELETE CASCADE
content_upload_logs_uploader_id_fkey,content_upload_logs,FOREIGN KEY (uploader_id) REFERENCES auth.users(id)
content_versions_created_by_fkey,content_versions,FOREIGN KEY (created_by) REFERENCES auth.users(id)
content_versions_content_id_fkey,content_versions,FOREIGN KEY (content_id) REFERENCES content(id) ON DELETE CASCADE
curated_collection_items_content_id_fkey,curated_collection_items,FOREIGN KEY (content_id) REFERENCES content(id)
curated_collection_items_collection_id_fkey,curated_collection_items,FOREIGN KEY (collection_id) REFERENCES curated_collections(id)
curated_collections_created_by_fkey,curated_collections,FOREIGN KEY (created_by) REFERENCES auth.users(id)
data_anonymization_logs_executed_by_fkey,data_anonymization_logs,FOREIGN KEY (executed_by) REFERENCES auth.users(id)
data_requests_processed_by_fkey,data_requests,FOREIGN KEY (processed_by) REFERENCES auth.users(id)
data_requests_user_id_fkey,data_requests,FOREIGN KEY (user_id) REFERENCES auth.users(id)
deploy_history_deployed_by_fkey,deploy_history,FOREIGN KEY (deployed_by) REFERENCES auth.users(id)
downloads_user_id_fkey,downloads,FOREIGN KEY (user_id) REFERENCES auth.users(id)
downloads_content_id_fkey,downloads,FOREIGN KEY (content_id) REFERENCES content(id)
dynamic_watermarks_user_id_fkey,dynamic_watermarks,FOREIGN KEY (user_id) REFERENCES auth.users(id)
editorial_logs_content_id_fkey,editorial_logs,FOREIGN KEY (content_id) REFERENCES content(id)
editorial_logs_editor_id_fkey,editorial_logs,FOREIGN KEY (editor_id) REFERENCES auth.users(id)
experiment_events_variant_id_fkey,experiment_events,FOREIGN KEY (variant_id) REFERENCES experiment_variants(id)
experiment_events_user_id_fkey,experiment_events,FOREIGN KEY (user_id) REFERENCES auth.users(id)
experiment_events_experiment_id_fkey,experiment_events,FOREIGN KEY (experiment_id) REFERENCES experiments(id)
experiment_results_experiment_id_fkey,experiment_results,FOREIGN KEY (experiment_id) REFERENCES experiments(id)
experiment_results_variant_id_fkey,experiment_results,FOREIGN KEY (variant_id) REFERENCES experiment_variants(id)
experiment_variants_experiment_id_fkey,experiment_variants,FOREIGN KEY (experiment_id) REFERENCES experiments(id) ON DELETE CASCADE
experiments_created_by_fkey,experiments,FOREIGN KEY (created_by) REFERENCES auth.users(id)
feature_flag_logs_changed_by_fkey,feature_flag_logs,FOREIGN KEY (changed_by) REFERENCES auth.users(id)
feature_flag_logs_feature_flag_id_fkey,feature_flag_logs,FOREIGN KEY (feature_flag_id) REFERENCES feature_flags(id)
feature_flags_created_by_fkey,feature_flags,FOREIGN KEY (created_by) REFERENCES auth.users(id)
feature_segments_feature_flag_id_fkey,feature_segments,FOREIGN KEY (feature_flag_id) REFERENCES feature_flags(id)
funnel_events_user_id_fkey,funnel_events,FOREIGN KEY (user_id) REFERENCES auth.users(id)
generated_invoices_user_id_fkey,generated_invoices,FOREIGN KEY (user_id) REFERENCES auth.users(id)
generated_invoices_transaction_id_fkey,generated_invoices,FOREIGN KEY (transaction_id) REFERENCES payment_transactions(id)
home_hero_created_by_fkey,home_hero,FOREIGN KEY (created_by) REFERENCES auth.users(id)
home_section_content_content_id_fkey,home_section_content,FOREIGN KEY (content_id) REFERENCES content(id)
home_section_content_section_id_fkey,home_section_content,FOREIGN KEY (section_id) REFERENCES home_sections(id)
